Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
Oh My Venus,2015,16,8.3,"Kim Yeong Ho is a personal trainer for Hollywood stars. He reluctantly comes back to Korea to face his family after a scandal with an actress. Even though he comes from a wealthy family background, he suffered a devastating injury during his childhood days. Now, he overcomes his problems with living a healthy lifestyle. Kang Joo Eun is a 33-year-old lawyer who was once the beauty of her school, nicknamed ""Daegu's Venus"". Over the years she has become overweight and unhealthy. She gets dumped by her boyfriend of 15 years. Kang Joo Eun meets Kim Yeong Ho, who agrees to be her personal trainer to help her get healthier. As they work on her physical transformation, they both discover they have feelings for each other. As they grow closer, they heal each other's emotional wounds and fall in love.","Comedy, Law, Romance, Life","Kim Hyoung Seok, Lee Na Jung","So Ji Sub, Shin Min Ah, Jung Gyu Woon, Yoo In Young, Sung Hoon, Henry Lau",#236
Leverage,2019,16,8.3,"Meet Lee Tae Joon a former insurance claims investigator turned scam strategist.  Backed by a group of former criminals, they aim to bring to justice fellow thieves, grifters and con-men world-wide, who, otherwise, would not get their due, through the usual legal channels. Those who hide illegal activity behind their reputations and think they are above the law, soon become the target of mastermind Lee Tae Joon and his unusual team of talented experts.","Action, Mystery, Comedy, Crime",Nam Ki Hoon,"Lee Dong Gun, Jeon Hye Bin, Kim Sae Ron, Kim Kwon, Yeo Hoe Hyun, Choi Ja Hye",#237
The King's Affection,2021,20,8.3,"The story is set during the Joseon Dynasty, at a time when twins were considered an ominous sign. As a result, when the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace. A few years later, the twin daughter Dam Yi returns to the palace to work as a maid. When the male twin, Lee Hwi, loses his life through a case of mistaken identity, their mother, having recognised her daughter as court maid Dam Yi, persuades her to take Lee Hwi's place. Although she distances herself from everybody, Dam Yi starts developing feelings for Jung Ji Woon, her original first love and later teacher who comes from a noble family.","Historical, Romance, Drama","Song Hyun Wook, Lee Hyun Suk","Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon",#238
A Gentleman's Dignity,2012,20,8.3,"Four men in their forties go through love, breakup, success and failure. The story includes the romantic relationship between Kim Do Jin, an architect with a scathing tongue, and strict high school teacher Seo Yi Soo, who moonlights as an umpire at amateur baseball games.","Comedy, Romance, Drama, Melodrama","Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun","Jang Dong Gun, Kim Ha Neul, Kim Soo Ro, Kim Min Jong, Lee Jong Hyuk, Yoon Se Ah",#239
Rookie Historian Goo Hae Ryung,2019,40,8.3,"The story takes place at the beginning of the 19th century. Goo Hae Ryung is an intern to become a palace historian. However, it was not acceptable for women to write historical records at that time. She takes one step at a time to create her own destiny in Joseon, where Confucian ideas are deeply rooted. She wants to fulfill her duties as a historian and prove to the world that everyone is equal. Along with the fight of the female palace historians, the drama will tell about her romance with Prince Yi Rim who has a secret of his own.","Historical, Comedy, Romance, Drama","Kang Il Soo, Han Hyun Hee","Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong, Lee Ye Rim, Park Ji Hyun",#240
Coffee Prince,2007,17,8.3,"Choi Han Gyul is the grandson of chairwoman Bang of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han Gyul is hung up on his first love, Han Yoo Joo, who only sees him as a friend. Go Eun Chan is a 24-year-old tomboy who is often mistaken for a guy. Her father died when she was 16 years old and since then she has taken over as the breadwinner in her family. When Han Gyul and Eun Chan meet, he, not knowing that she is a girl, decides to hire her to pretend to be his gay lover so that he can escape the blind dates arranged by his grandmother. After getting an ultimatum from his grandmother, Han Gyul takes over a rundown old coffee shop, later renamed ""Coffee Prince,"" to prove that he's capable, to both his grandmother and Yoo Joo. In order to attract female customers, he only hires good-looking male employees. Eun Chan, desperate for money, continues to hide her gender to get a job at the Coffee Prince.","Food, Comedy, Romance, Drama",Lee Yoon Jung,"Gong Yoo, Yoon Eun Hye, Lee Sun Kyun, Chae Jung An, Kim Chang Wan, Kim Dong Wook",#241
Ghost,2012,20,8.3,"Kim Woo Hyun is the only son of a high ranking police officer. Woo Hyun entered the police academy ranked first and graduated from the academy ranked first. As a detective, he then joins the cyber investigation department. Woo Hyun then works to reveal the secrets of those that hide within the cyber world.","Thriller, Mystery","Kim Hyung Shik, Park Shin Woo","So Ji Sub, Lee Yun Hee, Kwak Do Won, Uhm Ki Joon, Lee Won Keun, Yoon  Ji Hye",#242
Love Playlist: Season 4,2019,16,8.3,"The fourth season will show stories that everyone has experienced not only of love, but also enlistment, job hunting, and new human relationships.","Romance, Life, Youth, Drama",Yoo Hee Woon,"Lee Yoo Jin, Park Jung Woo, Park Shi An, Bae Hyun Sung, Kim Sae Ron, Kim Hyung Suk",#243
God's Quiz: Reboot,2018,16,8.3,"This is a drama about elite doctors and forensic scientists investigating mysterious deaths and solving mysteries related to rare diseases. Han Jin Woo is the tortured medical genius with a miracle brain that has been through its share of trouble. After he gets involved in an unexpected case, he returns to the medical examiner office for the first time in 4 years.","Mystery, Medical",Kim Jong Hyeok,"Ryu Deok Hwan, Yoon Joo Hee, Park  Hyo Joo, Park Joon Myun, Kim Ki Doo, Kim Jae Won",#244
Missing Noir M,2015,10,8.3,"Gil Su Hyeon is extremely intelligent. At the age of 10, he attended Harvard University and after graduating, he went to work at the FBI. 10 years later, he decided to come back to South Korea. He now works as the leader of the Special Missing Persons Unit. The unit deals with about 1% of special missing cases involving violent crimes. His appearance borders on perfection, but he holds a secret. Detective Oh Dae Yeong joins the Special Missing Persons Unit. He has worked as a detective for 20 years and he has an obsession in observing the law. He is known as a master of missing person cases.","Thriller, Mystery, Drama",Lee Seung Young,"Kim Kang Woo, Park Hee Soon, Jo Bo Ah, Kim  Gyu Chul, Park So Hyun, Oh Soon Tae",#245
Live Up to Your Name,2017,16,8.3,"Heo Im, who is born in a concubine family in the Joseon era and has very outstanding medical skills, is frustrated about his career as he fails to climb to higher positions in the government because of his background. By accident, he travels through time to modern Seoul 400 years later and meets modern doctor Yeon Gyung. Thinking that Heo Im is weird, she hopes to get rid of Heo Im but instead, they travel back to Joseon together again.","Historical, Romance, Medical, Fantasy",Hong Jong Chan,"Kim Nam Gil, Kim Ah Joong, Yoo Min Kyu, Moon Ga Young, Yoon Joo Sang, Uhm Hyo Sub",#246
Queen for Seven Days,2017,20,8.3,"This drama is about the love story between King Jung Jong and his Queen Dan Kyung, who was crowned and deposed within the span of a week due to rival political factions that controlled the king’s rule. According to historical legend, after the queen was dethroned and removed from the palace, the king would walk to the outside royal pavilion every day and sigh as he gazed at a mountain in her direction. After hearing this, she placed a red skirt, her favorite to wear in the palace, on a rock on the mountain face so he would know that she was well and that she still yearned for him.","Historical, Romance, Melodrama, Political",Lee Jung Sub,"Park Min Young, Yeon Woo Jin, Lee Dong Gun, Jang Hyun Sung, Kang Shin Il, Go Bo Gyeol",#247
Memory,2016,16,8.3,"Park Tae Suk is a lawyer who finds out that he has Alzheimer’s and puts his life on the line to fight one last case. The drama depicts his vigorous efforts trying to protect the precious value of the life and family love, while his memory starts fading away.","Law, Romance, Life, Drama",Park Chan Hong,"Lee Sung Min, Kim Jee Soo, Park Jin Hee, Lee Jun Ho, Jeon Noh Min, Yoon So Hee",#248
A Korean Odyssey,2017,20,8.3,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son Oh Gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago.","Horror, Comedy, Romance, Fantasy","Park Hong Kyun, Kim Jung Hyun, Kim Byung Soo","Lee Seung Gi, Cha Seung Won, Oh Yeon Seo, Lee Hong Ki, Jang Gwang, Lee El",#249
Voice 4: Judgment Hour,2021,14,8.3,"A serial killer with an enhanced hearing ability, identical to Kang Kwon Joo, appears and starts murdering people using it. Because of this, Kang Kwon Joo is driven into a corner and she decides to cooperate with Detective Derek Cho to catch the serial killer. Derek Cho, a person of principle who doesn’t allow mistakes, is a team leader from the LAPD (Los Angeles Police Department); a team that dealt with criminal gangs. Meanwhile, Kwon Joo has suffered from PTSD since the death of Do Kang Woo, but she still carries out her duties as the leader of the emergency 112 call center. ","Action, Thriller, Mystery, Crime","Shin Yong Hwi, Yoon Ra Young","Lee  Ha Na, Song Seung Heon, Son Eun Seo, Kang Seung Yoon, Baek Sung Hyun, Kim Joong Ki",#250
